Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
spotify:track:0S0d7Qad5v7ZLQiAuwQxab,Kryptonite,spotify:artist:2RTUTCvo6onsAnheUk3aL9,3 Doors Down,spotify:album:3HKGB8wZqadLRJJYP59jJS,Modern Rock Number 1's,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2007-01-01,https://i.scdn.co/image/ab67616d0000b2733cc82be0ba328fbeb3a2414e,1,3,233933,,false,0,USUR19980187,spotify:user:admiralorbiter,2021-03-02T17:30:35Z
spotify:track:17tDv8WA8IhqE8qzuQn707,My First Kiss (feat. Ke$ha),"spotify:artist:0FWzNDaEu9jdgcYTbcOa4F, spotify:artist:6LqNN22kT3074XbTVUrhzX","3OH!3, Kesha",spotify:album:1W9toxqtPfieKk6cft0f7R,Streets Of Gold,spotify:artist:0FWzNDaEu9jdgcYTbcOa4F,3OH!3,2010-06-25,https://i.scdn.co/image/ab67616d0000b273bc805cd88b018b0adaec9a8c,1,3,192440,https://p.scdn.co/mp3-preview/026575522e55e2b3a1839b77d80b3f3e8771deb3?cid=9950ac751e34487dbbe027c4fd7f8e99,false,65,USAT21000648,spotify:user:admiralorbiter,2021-03-02T17:41:02Z
spotify:track:1CYyIsAaTrnmJ8MO2rec5f,What Up Gangsta,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,spotify:album:4ycNE7y1rp5215g1kkqk1P,Get Rich Or Die Tryin',spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,2003-02-06,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf,1,2,179466,https://p.scdn.co/mp3-preview/422d4f2a42ea89213968f90647b7b5702a93ec98?cid=9950ac751e34487dbbe027c4fd7f8e99,true,60,USIR10300024,spotify:user:admiralorbiter,2021-03-02T17:52:52Z
spotify:track:2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,spotify:album:4ycNE7y1rp5215g1kkqk1P,Get Rich Or Die Tryin',spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,2003-02-06,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf,1,4,256226,https://p.scdn.co/mp3-preview/286d7529f799f0b180c80c37635fb4d1fffbe749?cid=9950ac751e34487dbbe027c4fd7f8e99,true,75,USIR10300018,spotify:user:admiralorbiter,2021-03-02T18:03:39Z
spotify:track:4RY96Asd9IefaL3X4LOLZ8,In Da Club,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,spotify:album:4ycNE7y1rp5215g1kkqk1P,Get Rich Or Die Tryin',spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,2003-02-06,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf,1,5,193466,https://p.scdn.co/mp3-preview/c2905c98bb694c479e6f0b5c0376b2242971d041?cid=9950ac751e34487dbbe027c4fd7f8e99,true,79,USIR10300033,spotify:user:admiralorbiter,2021-03-02T18:03:42Z
spotify:track:2D1hlMwWWXpkc3CZJ5U351,P.I.M.P.,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,spotify:album:4ycNE7y1rp5215g1kkqk1P,Get Rich Or Die Tryin',spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,2003-02-06,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf,1,11,249466,https://p.scdn.co/mp3-preview/61c94246e03dab8b34d55ee545de0c5fd1d9f6cf?cid=9950ac751e34487dbbe027c4fd7f8e99,true,72,USIR10300020,spotify:user:admiralorbiter,2021-03-02T18:04:02Z
spotify:track:41bIQPBE1lFN0mmw6Lmssz,21 Questions,"spotify:artist:3q7HBObVc0L8jNeTe5Gofh, spotify:artist:1Oa0bMld0A3u5OTYfMzp5h","50 Cent, Nate Dogg",spotify:album:4ycNE7y1rp5215g1kkqk1P,Get Rich Or Die Tryin',spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,2003-02-06,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf,1,14,224426,https://p.scdn.co/mp3-preview/626d56982e9750267cba9b71cd15120334419333?cid=9950ac751e34487dbbe027c4fd7f8e99,true,77,USIR10300002,spotify:user:admiralorbiter,2021-03-02T18:04:26Z
spotify:track:1dnBuF3ggJb41mfQCHIdzn,Gotta Make It To Heaven,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,spotify:album:4ycNE7y1rp5215g1kkqk1P,Get Rich Or Die Tryin',spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,2003-02-06,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf,1,16,240680,https://p.scdn.co/mp3-preview/66b7d7988761c0667ac3585d4cde94b5d63e731e?cid=9950ac751e34487dbbe027c4fd7f8e99,true,42,USIR10300007,spotify:user:admiralorbiter,2021-03-02T18:04:41Z
